params,score
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-2.977176773820031
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-8.580978596833772
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-2.952413330565258
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-6.836987224829854
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-2.9665651066688943
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-8.538941404648796
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-2.9470768891834815
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-6.799678984985945
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.87411904387038
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-9.340762471395584
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.9432175236683094
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-7.302928935884676
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.904038449408434
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-9.333879920936234
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.930711606126641
"{'entry_z': 1.5, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-7.231741533587012
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-2.977176773820031
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-8.580978596833772
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-2.952413330565258
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-6.836987224829854
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-2.9665651066688943
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-8.538941404648796
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-2.9470768891834815
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-6.799678984985945
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.87411904387038
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-9.340762471395584
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.9432175236683094
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-7.302928935884676
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.904038449408434
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-9.333879920936234
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.930711606126641
"{'entry_z': 1.5, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-7.231741533587012
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.466342070477641
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-7.605765355046606
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.276328646931603
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-6.676471672983251
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.475104873079424
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-7.569356312692349
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.2720685894396464
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-6.639806013240632
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.281792099131605
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-8.198252004584678
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.46504207294175
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-7.833271041193093
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.320484851612422
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-8.19554624907925
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.452051297013157
"{'entry_z': 1.8, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-7.75979537428416
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.466342070477641
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-7.605765355046606
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.276328646931603
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-6.676471672983251
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.475104873079424
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-7.569356312692349
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.2720685894396464
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 40, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-6.639806013240632
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",-4.281792099131605
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",-8.198252004584678
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",-3.46504207294175
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",-7.833271041193093
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.1}",-4.320484851612422
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",-8.19554624907925
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",-3.452051297013157
"{'entry_z': 1.8, 'exit_z': 0.5, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",-7.75979537428416
